FinishTime,Horse,Jockey,HorseCode,RaceNo,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,RACE 4 (286),,,,,,,,,
,,,,,,,RACE 9 (291),,,,,,,,,
,,,,,,,RACE 6 (288),,,,,,,,,
,,,,,,,RACE 8 (290),,,,,,,,,
,,,,,,,RACE 7 (289),,,,,,,,,
,,,,,,,RACE 10 (292),,,,,,,,,
,,,,,,,RACE 2 (284),,,,,,,,,
,,,,,,,RACE 5 (287),,,,,,,,,
,,,,,,,RACE 3 (285),,,,,,,,,
,,,,,,,RACE 1 (283),,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,RaceNo,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,RACE 10 (292),,,,,,,,,
,,,,,,,RACE 7 (289),,,,,,,,,
,,,,,,,RACE 2 (284),,,,,,,,,
,,,,,,,RACE 8 (290),,,,,,,,,
,,,,,,,RACE 3 (285),,,,,,,,,
,,,,,,,RACE 9 (291),,,,,,,,,
,,,,,,,RACE 5 (287),,,,,,,,,
,,,,,,,RACE 6 (288),,,,,,,,,
,,,,,,,RACE 4 (286),,,,,,,,,
,,,,,,,RACE 1 (283),,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,RaceNo,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,DeclarHorseWt
,,,,,http://racing.hkjc.com,,RACE 2 (284),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 8 (290),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 7 (289),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 3 (285),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 5 (287),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 9 (291),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 10 (292),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 4 (286),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 6 (288),,,,,,,,,
,,,,,http://racing.hkjc.com,,RACE 1 (283),,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,RaceNo,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,RACE 10 (292),,,,,,,,,
,,,,,,,RACE 3 (285),,,,,,,,,
,,,,,,,RACE 8 (290),,,,,,,,,
,,,,,,,RACE 5 (287),,,,,,,,,
,,,,,,,RACE 7 (289),,,,,,,,,
,,,,,,,RACE 4 (286),,,,,,,,,
,,,,,,,RACE 9 (291),,,,,,,,,
,,,,,,,RACE 6 (288),,,,,,,,,
,,,,,,,RACE 2 (284),,,,,,,,,
,,,,,,,RACE 1 (283),,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,RaceNo,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,RACE 4 (286),,,,,,,,,,
,,,,,,,RACE 10 (292),,,,,,,,,,
,,,,,,,RACE 8 (290),,,,,,,,,,
,,,,,,,RACE 6 (288),,,,,,,,,,
,,,,,,,RACE 9 (291),,,,,,,,,,
,,,,,,,RACE 5 (287),,,,,,,,,,
,,,,,,,RACE 7 (289),,,,,,,,,,
,,,,,,,RACE 3 (285),,,,,,,,,,
,,,,,,,RACE 2 (284),,,,,,,,,,
,,,,,,,RACE 1 (283),,,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,RaceNo,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,RACE 11 (282),,,,,,,,,,
,,,,,,,RACE 10 (281),,,,,,,,,,
,,,,,,,RACE 4 (275),,,,,,,,,,
,,,,,,,RACE 8 (279),,,,,,,,,,
,,,,,,,RACE 5 (276),,,,,,,,,,
,,,,,,,RACE 7 (278),,,,,,,,,,
,,,,,,,RACE 6 (277),,,,,,,,,,
,,,,,,,RACE 3 (274),,,,,,,,,,
,,,,,,,RACE 2 (273),,,,,,,,,,
,,,,,,,RACE 9 (280),,,,,,,,,,
,,,,,,,RACE 1 (272),,,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,RaceNo,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,RACE 2 (273),,,,,,,,,,
,,,,,,,RACE 9 (280),,,,,,,,,,
,,,,,,,RACE 6 (277),,,,,,,,,,
,,,,,,,RACE 8 (279),,,,,,,,,,
,,,,,,,RACE 10 (281),,,,,,,,,,
,,,,,,,RACE 5 (276),,,,,,,,,,
,,,,,,,RACE 4 (275),,,,,,,,,,
,,,,,,,RACE 7 (278),,,,,,,,,,
,,,,,,,RACE 11 (282),,,,,,,,,,
,,,,,,,RACE 1 (272),,,,,,,,,,
,,,,,,,RACE 3 (274),,,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,RaceNo,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,RACE 11 (282),,,,,,,,,,
,,,,,,,RACE 10 (281),,,,,,,,,,
,,,,,,,RACE 8 (279),,,,,,,,,,
,,,,,,,RACE 7 (278),,,,,,,,,,
,,,,,,,RACE 4 (275),,,,,,,,,,
,,,,,,,RACE 3 (274),,,,,,,,,,
,,,,,,,RACE 2 (273),,,,,,,,,,
,,,,,,,RACE 6 (277),,,,,,,,,,
